Name,Current price,Change(%),Open,High,Low,Volume
PASSAGE BIO INC.,0.955,15.45,1.0,1.02,0.92,115105
FRANKLIN ELECTRIC CO. INC.,97.02,0.31,96.57,97.84,96.54,115095
MGE ENERGY INC.,76.16,0.2,75.64,77.14,75.54,114968
OCEAN BIOMEDICAL INC.,1.45,17.05,1.51,1.53,1.44,114399
CORVUS PHARMACEUTICALS INC.,1.87,13.11,1.89,1.99,1.87,114366
HANMI FINANCIAL,15.44,0.59,15.39,15.54,15.3,114160
DIH HOLDING US INC.,2.88,1.05,2.68,2.92,2.66,113903
PDF SOLUTIONS INC.,35.02,2.31,34.3,35.21,34.22,113604
COMMUNITY WEST BANCSHARES,16.75,0.72,16.57,17.04,16.57,113539
PHUNWARE INC.,5.48,12.66,5.6,5.74,5.48,113366
CLARUS CORP.,6.4,11.84,6.54,6.54,6.37,113187
ENCORE CAPITAL GROUP INC,41.0,10.41,40.87,41.39,40.45,112886
CALAMOS CONVERTIBLE OPPORTUNITIES AND,11.61,0.0,11.65,11.66,11.55,112682
AMEDISYS INC,91.63,10.16,91.82,91.99,91.29,112247
PERMA-FIX ENVIRONMENTAL SERVICES,10.13,10.69,10.12,10.46,10.1,111838
METHANEX CORP.,48.31,10.04,48.33,48.57,48.0,111710
ADDUS HOMECARE CORP.,119.3,1.36,118.11,119.79,117.3,111472
ALTI GLOBAL INC.,4.99,10.4,4.94,5.15,4.87,111235
BIOAFFINITY TECHNOLOGIES INC.,1.9,13.06,1.96,2.02,1.9,111204
KLX ENERGY SERVICES HLD.,4.44,13.06,4.6,4.62,4.42,110856
DULUTH HOLDINGS INC.,3.77,12.08,3.88,3.91,3.73,110334
PINTEC TECHNOLOGY HLD.,1.03,14.63,1.07,1.09,1.02,110254
BLOCKCHAIN COINVESTORS ACQUISITION,11.15,10.09,11.15,11.15,11.15,110177
INHIBRX BIOSCIENCES INC.,14.57,2.68,14.14,14.68,13.88,109598
INSPIRA TECHNOLOGIES OXY B.H.N.,1.63,16.86,1.73,1.75,1.55,109276
UTIME LTD.,0.4858,10.86,0.48,0.528,0.48,109161
PRICESMART INC.,79.39,10.13,79.45,80.3,78.87,108970
CONDUIT PHARMACEUTICALS INC.,1.59,15.92,1.53,1.73,1.53,108942
INNOSPEC INC.,123.26,10.4,123.45,124.46,123.26,108740
SOPHIA GENETICS SA,4.99,0.81,4.96,5.05,4.82,108698
2U INC.,5.76,14.79,5.92,6.06,5.61,108669
DP CAP ACQUISITION CORP I,11.23,0.0,11.21,11.23,11.2,108627
AMERICAN WOODMARK,80.3,11.0,81.13,81.13,79.61,108597
NEOVOLTA INC.,3.0,111.76,3.37,3.44,2.82,108398
MULTIMETAVERSE HOLDINGS,0.5979,12.94,0.6,0.615,0.57,108041
GALAPAGOS NV ADS,25.84,0.39,26.02,26.02,25.74,107768
RICHTECH ROBOTICS INC.,1.23,13.15,1.24,1.28,1.23,107683
ORGANOVO HOLDINGS INC.,0.8651,15.08,0.89,0.9099,0.862,107274
ATERIAN INC.,2.0,16.98,2.16,2.16,1.99,106803
COMMERCIAL VEHICLE GROUP INC.,5.16,10.96,5.14,5.36,5.14,106641
LAVA THERAPEUTICS N.V.,1.95,16.7,2.09,2.18,1.92,106587
YATRA ONLINE INC.,1.12,0.9,1.12,1.14,1.11,106544
MCGRATH RENTCORP,105.4,10.21,105.54,106.95,105.26,106530
NIU TECHNOLOGIES ADS,1.78,11.11,1.8,1.83,1.77,106396
MONARCH CASINO & RESORT INC.,68.19,10.42,68.54,68.69,67.9,106341
PANGAEA LOGISTICS SOLUTIONS,7.51,10.53,7.54,7.66,7.49,106327
PALLADYNE AI CORP.,1.59,18.62,1.79,1.79,1.56,106289
BRIACELL THERAPEUTICS,1.34,19.46,1.51,1.51,1.29,106227
ICZOOM GROUP INC.,1.96,15.31,2.04,2.09,1.92,106205
SILENCE THERAPEUTICS PLC ADS,18.9,10.53,19.22,19.5,18.23,105978
CANNA-GLOBAL ACQUISITION CORP,11.31,0.0,11.33,11.35,11.3,105900
PC CONNECTION INC.,64.66,0.81,64.22,65.03,63.86,105839
CONNECT BIOPHARMA HLD.,1.49,19.7,1.61,1.69,1.42,105665
U.S. GOLD CORP.,5.97,1.36,5.95,6.08,5.8,105540
WORKSPORT LTD.,0.6,11.8,0.6,0.62,0.5902,105528
LANTERN PHARMA INC.,4.69,14.48,4.84,4.88,4.58,105336
KOSS CORP.,3.88,13.0,3.97,4.01,3.83,105048
SAFE AND GREEN DEVELOPMENT,0.4261,15.23,0.4671,0.4671,0.42,105009
FULL HOUSE RESORTS INC.,4.9,1.03,4.85,4.92,4.79,104666
PARAZERO TECHNOLOGIES,0.599,1.51,0.59,0.62,0.5834,104637
THE REAL GOOD FOOD CO.,0.589,13.47,0.626,0.626,0.563,104622
PREMIER FINANCIAL,19.23,0.37,19.1,19.52,19.01,104561
CARISMA THERAPEUTICS INC.,1.03,0.0,1.04,1.06,1.01,104413
GLADSTONE INVESTMENT,13.84,11.21,13.87,13.99,13.79,104272
MURAL ONCOLOGY PLC,3.23,12.12,3.29,3.32,3.19,103855
ELECTRA BATTERY MATERIALS,0.4345,11.25,0.44,0.449,0.4183,103640
ORTHOPEDIATRICS,29.94,1.77,29.51,30.86,29.26,103414
THE PENNANT GROUP INC.,22.65,10.88,22.81,22.93,22.58,103363
CLEARSIGN TECHNOLOGIES,0.707,0.1,0.71,0.7607,0.7002,103346
EQUILLIUM INC.,0.69,13.71,0.7071,0.72,0.688,102848
PULSE BIOSCIENCES INC,11.4,13.8,11.7,11.7,11.23,102841
TOMI ENVIRONMENTAL SOLUTIONS,1.02,0.0,1.04,1.07,0.99,102786
KORU MEDICAL SYSTEMS INC.,2.23,0.0,2.24,2.35,2.21,102502
TWIN VEE POWERCATS CO.,0.722,0.11,0.7201,0.76,0.71,102455
ASPIRA WOMEN S HEALTH INC.,1.64,16.29,1.74,1.89,1.64,102446
GAMBLING.COM GROUP,7.72,0.65,7.67,7.81,7.67,102123
BEAM GLOBAL,5.28,16.55,5.63,5.67,5.25,101956
HELIUS MEDICAL TECHNOLOGIES,0.996,13.3,1.04,1.05,0.9801,101770
J & J SNACK FOODS,166.72,10.3,166.57,168.33,165.22,101761
SENESTECH INC.,0.6011,2.73,0.565,0.63,0.5612,101272
DIME COMMUNITY BANCSHARES INC.,18.48,0.98,18.31,18.78,18.31,101185
APOGEE ENTERPRISES INC.,61.82,10.34,61.84,61.97,61.24,101180
COLLIERS INTERNATIONAL GROUP,109.63,10.63,110.5,111.0,109.13,101118
YOSHITSU CO. LTD ADS,0.2231,11.28,0.2222,0.2349,0.2202,101071
PERFORMANT FINANCIAL,2.91,11.36,2.92,2.96,2.86,100929
FIRST BANCORP,30.38,10.78,30.44,30.82,30.37,100536
ICECURE MEDICAL,0.789,2.48,0.78,0.81,0.7512,100502
TAOPING INC.,0.7459,2.18,0.7289,0.7459,0.71,100492
PATRIA LATIN AMERICAN OPPORTUNITY ACQUI,11.42,0.0,11.4,11.42,11.4,100107
OPORTUN FINANCIAL,2.82,14.73,2.94,2.99,2.8,100095
QUETTA ACQUISITION,10.34,0.0,10.34,10.34,10.34,100000
VIANT TECHNOLOGY INC.,9.56,1.49,9.65,9.72,9.5,99695
PLEXUS CORP.,103.1,10.27,103.38,104.29,103.1,99646
EGAIN CORP.,6.22,10.32,6.24,6.38,6.19,99206
LAKELAND FINANCIAL,60.68,0.13,60.42,61.85,60.28,99142
EVERSPIN TECHNOLOGIES INC.,6.0,11.96,6.07,6.11,5.95,98779
SUPER HI INTERNATIONAL HOLDING,17.28,13.57,17.5,18.0,16.66,98711
GENASYS INC.,1.7,12.3,1.77,1.77,1.65,98593
LIGHTBRIDGE CORP.,2.49,1.63,2.48,2.61,2.45,98391
NUTEX HEALTH INC.,0.54,17.69,0.5849,0.5849,0.538,98094
NUVVE HOLDING CORP.,0.6231,11.89,0.6374,0.6374,0.61,98011
REVIVA PHARMACEUTICALS HLD.,1.37,15.52,1.45,1.45,1.36,97528
STEALTHGAS INC.,7.47,0.95,7.39,7.58,7.35,97420
MORNINGSTAR INC.,286.56,10.9,289.15,290.77,286.42,97217
XILIO THERAPEUTICS INC.,0.9469,10.33,0.95,0.9926,0.94,96975
AMALGAMATED FINANCIAL,24.97,0.64,24.71,25.1,24.71,96908
UNITY BIOTECHNOLOGY INC.,1.3,15.8,1.39,1.39,1.26,96736
FARMERS NATIONAL BANC,12.08,10.74,12.17,12.24,12.07,95859
GCM GROSVENOR INC.,9.73,1.14,9.64,9.76,9.63,95245
MAREX GROUP PLC,19.4,1.09,19.03,19.6,18.98,95005
KAISER ALUMINUM,88.91,0.74,87.93,89.67,87.93,94571
CODORUS VALLEY BANCORP INC,21.97,10.09,22.02,22.26,21.94,94287
TIVIC HEALTH SYSTEMS INC.,0.3894,14.84,0.4,0.4,0.388,93970
TRICO BANCSHARES,37.15,10.32,37.3,37.75,37.08,93928
ASSET ENTITIES INC.,0.4,16.52,0.4076,0.4099,0.38,93703
AFYA LTD.,17.24,10.29,17.36,17.37,16.81,93657
NATIONAL RESEARCH,25.12,10.51,25.21,25.73,25.06,93423
SUPERIOR GROUP OF COMPANIES,19.02,11.96,19.4,19.52,19.02,93418
AVEANNA HEALTHCARE HLD.,2.64,17.37,2.81,2.88,2.55,93310
CREATIVE REALITIES INC.,4.87,2.31,4.75,4.98,4.66,93237
FUTURE FINTECH GROUP INC.,0.5705,13.21,0.5875,0.6,0.55,93197
NANO LABS LTD,0.426,14.72,0.462,0.462,0.401,93082
BIORA THERAPEUTICS INC.,0.6849,1.95,0.672,0.7,0.672,93068
HARBORONE BANCORP INC.,10.39,0.19,10.39,10.44,10.33,92945
CENNTRO INC.,1.71,0.59,1.67,1.78,1.67,92675
ALPINE 4 HOLDINGS INC.,0.4898,16.76,0.53,0.55,0.48,92545
COMPOSECURE INC.,6.43,10.77,6.49,6.53,6.37,92404
LIGAND PHARMACEUTICALS INC.,80.54,10.12,80.27,81.29,79.5,92292
TOP FINANCIAL GROUP,2.5,16.72,2.58,2.6,2.48,92222
CALAMOS GLOBAL DYNAMIC,6.98,0.58,6.94,6.98,6.91,92205
BIO-PATH HOLDINGS INC.,2.27,15.02,2.42,2.42,2.25,91904
CONSOLIDATED WATER CO.,24.83,11.04,24.94,24.94,24.23,91566
LIMBACH HOLDINGS INC.,57.09,4.81,54.82,57.82,54.27,91563
INDIVIOR PLC,15.86,12.94,16.16,16.18,15.8,91336
MEIRAGTX HOLDINGS PLC,4.27,12.73,4.34,4.46,4.25,91229
SMART SHARE GLOBAL,0.95,113.64,1.1,1.1,0.95,91081
PYXIS TANKERS INC.,5.16,1.98,5.14,5.28,5.09,90900
T2 BIOSYSTEMS INC.,5.31,3.51,5.31,5.5,5.06,90855
NAUTILUS BIOTECHNOLOGY INC.,2.41,15.86,2.59,2.62,2.41,90407
LUCID DIAGNOSTICS INC.,0.7219,1.63,0.719,0.7387,0.7,90366
SHF HOLDINGS INC.,0.5259,18.54,0.5898,0.5898,0.505,90059
STREAMLINE HEALTH SOLUTIONS,0.5,15.66,0.513,0.52,0.47,89972
INGLES MARKETS INC.,69.73,0.26,69.47,69.9,69.4,89743
OLYMPIC STEEL INC.,46.21,10.06,46.38,47.37,45.57,89102
ALLIENT INC.,25.76,3.7,25.04,26.01,24.98,89046
RELMADA THERAPEUTICS INC.,3.03,1.0,3.0,3.19,2.99,88859
ENVIROTECH VEHICLES INC.,1.73,11.7,1.8,1.86,1.71,88755
ODYSSEY MARINE EXPLORATION,5.15,12.46,5.32,5.35,5.12,88619
AFFINITY BANCSHARES INC.,20.94,1.16,20.66,21.0,20.66,87831
SOLIGENIX INC.,4.24,10.99,3.81,4.26,3.81,87548
STONEX GROUP INC.,71.5,10.43,72.03,72.07,71.16,87521
SENSUS HEALTHCARE INC.,5.16,11.15,5.22,5.4,5.14,87243
WETOUCH TECHNOLOGY INC.,2.54,17.97,2.69,2.76,2.45,87195
ALIMERA SCIENCES INC.,3.05,16.15,3.23,3.27,3.02,86900
LIQUIDITY SERVICES INC.,19.2,1.0,19.08,19.53,19.01,86760
NEURONETICS INC.,1.82,14.71,1.93,1.97,1.82,86589
FORZA X1 INC.,0.39,13.66,0.3927,0.4299,0.38,86173
INSPIRED ENTERTAINMENT INC.,9.24,11.6,9.4,9.4,9.16,85832
FOGHORN THERAPEUTICS INC.,5.23,19.04,5.76,5.76,5.15,85791
CSLM ACQUISITION,0.1,123.08,0.1172,0.1172,0.0901,85577
S&W SEED COMPANY,0.2455,17.46,0.2694,0.28,0.24,85547
FIRSTSERVICE CORP.,150.76,11.53,152.9,153.32,150.47,85456
NIOCORP DEVELOPMENTS,1.91,12.05,1.92,2.0,1.89,85036
SINGULAR GENOMICS SYSTEMS INC.,0.33,13.06,0.346,0.36,0.33,84899
ITERIS INC.,4.28,1.66,4.21,4.35,4.17,84822
HEARTBEAM INC.,2.27,14.22,2.33,2.53,2.26,84800
KANDI TECHNOLOGIES GROUP INC.,1.83,10.54,1.86,1.88,1.82,84774
ESSA PHARMA INC.,4.66,14.9,4.9,5.22,4.6,84586
RENT THE RUNWAY INC.,19.16,12.59,19.46,20.19,18.5,84506
VIEMED HEALTHCARE INC.,6.61,13.64,6.86,6.87,6.6,84284
SUPER LEAGUE ENTERPRISE INC.,0.8376,16.27,0.9,0.9165,0.823,84274
BALCHEM CORP.,152.5,10.87,153.86,154.16,152.49,84226
IZEA WORLDWIDE INC.,2.01,15.19,2.11,2.47,1.95,84039
IM CANNABIS CORP.,0.464,11.49,0.4569,0.4884,0.452,84025
GLADSTONE CAPITAL,22.61,11.35,22.72,22.82,22.56,83978
SOCIETY PASS INC.,1.34,10.74,1.33,1.4,1.27,83908
THE FIRST OF LONG ISLAND,9.63,10.31,9.64,9.82,9.61,83577
SEZZLE INC.,82.85,2.92,80.5,85.29,79.75,83385
ICAD INC.,1.45,12.68,1.47,1.5,1.42,83368
TIAN RUIXIANG HLD.,2.29,11.72,2.35,2.52,2.22,83252
ACCELERATE DIAGNOSTICS INC.,1.16,19.38,1.32,1.32,1.15,83244
SECUREWORKS CORP.,6.01,11.15,6.05,6.25,5.96,83166
EAGLE PHARMACEUTICALS INC.,3.95,12.71,4.03,4.15,3.89,82928
ENSTAR GROUP LTD.,24.71,0.32,24.71,24.78,24.67,82925
374WATER INC.,1.17,0.0,1.19,1.21,1.15,82868
CIMPRESS PLC,83.27,0.17,82.76,83.63,82.21,82839
SOUTHSIDE BANCSHARES INC.,25.91,0.08,25.83,26.06,25.72,82836
OFS CAPITAL CORP.,9.42,14.37,9.38,9.54,9.38,82223
QXO INC.,91.77,124.83,121.99,121.99,86.54,82220
MINGTENG INTERNATIONAL,4.4,12.22,4.49,4.57,4.01,82047
OPAL FUELS INC.,4.27,11.39,4.33,4.36,4.26,81876
FENNEC PHARMACEUTICALS INC.,6.65,12.35,6.78,6.89,6.65,81458
PREDICTIVE ONCOLOGY INC.,1.13,13.42,1.2,1.23,1.12,81368
WESTAMERICA BANCORP.,47.27,10.13,47.19,47.85,47.04,81245
NAAS TECHNOLOGY INC. ADS,5.64,1.99,5.63,5.79,5.25,81173
KIRKLAND S INC.,1.76,15.38,1.85,1.89,1.75,80983
OSI SYSTEMS INC.,135.9,10.24,136.45,137.12,135.54,80458
LEXEO THERAPEUTICS INC.,15.64,13.75,16.08,16.26,15.3,80380
OSTIN TECHNOLOGY GROUP CO.,0.425,3.41,0.4204,0.43,0.4011,80165
MACATAWA BANK CORP.,13.77,0.29,13.72,13.83,13.63,79740
ALTERNUS CLEAN ENERGY INC.,0.3758,11.13,0.38,0.3852,0.3645,79612
CREXENDO INC.,3.29,7.87,3.03,3.38,3.01,79564
LYTUS TECHNOLOGIES HLD.,2.25,13.02,2.41,2.48,2.21,79543
SIGHT SCIENCES INC.,6.4,10.78,6.45,6.57,6.33,79367
LENDINGTREE INC.,42.18,0.48,41.77,43.0,41.76,79358
CADIZ INC.,2.96,12.63,3.02,3.05,2.94,79302
SAPIENS INTERNATIONAL,33.75,0.12,33.73,33.92,33.35,78957
TRACON PHARMACEUTICALS INC.,1.29,13.73,1.34,1.4,1.26,78922
THE ONE GROUP HOSPITALITY INC.,4.56,13.8,4.72,4.76,4.53,78497
WD-40 COMPANY,224.47,10.08,223.45,225.94,221.78,78357
PALOMAR HOLDINGS INC.,80.97,0.12,81.0,82.05,80.01,78200
ORCHESTRA BIOMED HLD.,7.44,17.46,7.97,8.14,7.29,78200
CURIOSITYSTREAM INC.,1.13,0.89,1.11,1.17,1.11,78031
IBEX LTD.,15.79,11.93,16.02,16.19,15.7,78029
CADRENAL THERAPEUTICS INC.,0.4765,14.7,0.51,0.51,0.47,77891
MONDEE HOLDINGS INC.,2.1,0.0,2.08,2.11,2.04,77757
NEXTCURE INC.,1.32,17.69,1.44,1.51,1.28,77647
LANCASTER COLONY,187.9,10.34,188.59,188.87,187.47,77464
CONCRETE PUMPING HLD.,6.38,12.74,6.58,6.58,6.36,77450
SOLARMAX TECHNOLOGY INC.,4.56,12.15,4.78,4.87,4.46,77379
MIDDLESEX WATER CO.,51.45,1.18,50.44,51.78,50.31,77375
GERMAN AMERICAN BANCORP INC.,32.94,1.23,32.56,33.02,32.56,77357
LANDS END INC.,14.35,10.97,14.51,14.85,14.33,77238
GEOSPACE TECHNOLOGIES,9.16,12.76,9.49,9.52,9.15,77211
PARAMOUNT GLOBAL,17.02,11.96,17.36,17.43,16.93,77182
PALTALK INC.,3.82,12.3,4.1,4.25,3.75,77047
AMERISERV FINANCIAL INC.,2.33,14.12,2.42,2.48,2.32,76955
PIONEER POWER SOLUTIONS INC.,4.11,1.99,4.02,4.16,4.02,76819
BOK FINANCIAL CORP.,89.45,0.74,88.79,89.61,88.3,76793
PEOPLES BANCORP INC.,28.69,10.38,28.7,29.05,28.67,76670
NWTN INC.,1.38,4.55,1.31,1.46,1.3,76640
ARBE ROBOTICS,1.98,10.0,1.85,1.98,1.85,76636
BONE BIOLOGICS CORP,1.49,12.61,1.58,1.6,1.45,76625
LOTUS TECHNOLOGY INC. ADS,6.5,14.41,6.8,6.8,6.35,76612
MARKER THERAPEUTICS INC.,4.62,13.35,4.92,4.95,4.55,76337
JANONE INC.,2.29,12.97,2.35,2.37,2.27,76126
THE9 LTD.,8.32,19.66,9.2,9.2,8.25,75885
ALCHEMY INVESTMENTS ACQUISITION CORP 1,10.72,0.37,10.72,10.72,10.72,75782
ANIXA BIOSCIENCES INC.,2.47,15.0,2.57,2.6,2.36,75701
BITCOIN DEPOT INC.,1.85,0.0,1.83,1.93,1.83,75686
EVOGENE,0.6574,1.86,0.63,0.67,0.63,75614
INFORMATION SERVICES GROUP,3.06,11.92,3.12,3.13,3.06,75589
ORRSTOWN FINANCIAL SERVICES,25.33,10.28,25.4,25.67,25.28,75529
EURODRY LTD.,23.47,4.64,22.85,23.55,22.51,75506
AYRO INC.,0.838,0.01,0.8128,0.848,0.7903,75342
EXELA TECHNOLOGIES INC.,2.18,13.54,2.23,2.35,2.16,75316
CIVISTA BANCSHARES INC.,13.85,0.07,13.8,13.94,13.77,75299
GREENWICH LIFESCIENCES INC.,15.97,18.43,17.12,18.75,15.81,75217
ACRIVON THERAPEUTICS INC.,6.63,13.63,6.93,6.99,6.6,74864
IO BIOTECH INC.,1.25,1.63,1.23,1.31,1.2,74477
SYRA HEALTH CORP.,1.43,0.0,1.45,1.5,1.4,74301
MAGIC EMPIRE GLOBAL,0.58,1.22,0.59,0.6,0.563,74153
MONROE CAPITAL CORP.,7.38,13.4,7.52,7.52,7.38,74116
MINIM INC.,2.82,16.0,3.0,3.1,2.8,73876
GLADSTONE LAND CORP.,20.22,10.25,20.26,20.42,20.12,73418
PEPGEN INC.,16.36,15.81,17.17,17.54,16.24,73272
DIGIHOST TECHNOLOGY INC.,1.41,14.73,1.45,1.49,1.4,72964
EFFECTOR THERAPEUTICS INC.,1.16,16.45,1.22,1.26,1.16,72809
THE RMR GROUP INC.,22.62,10.88,22.76,22.99,22.62,72745
BRERA HOLDINGS PLC,0.75,111.53,0.8477,0.873,0.71,72676
AUDIOCODES,9.99,0.91,9.79,10.01,9.79,72622
ATLAS LITHIUM CORP.,10.0,11.28,10.23,10.41,9.6,72589
TRUBRIDGE INC.,10.25,1.28,10.15,10.4,10.06,72442
MAIDEN HOLDINGS LTD.,2.0,11.96,2.02,2.07,1.99,72304
PHIBRO ANIMAL HEALTH,17.48,1.45,17.2,17.66,17.2,71988
BROOGE ENERGY LTD.,0.9686,12.1,0.99,1.03,0.9302,71909
SAVERONE 2014,0.432,0.42,0.4372,0.4899,0.4303,71846
ELIEM THERAPEUTICS INC,7.35,14.05,7.54,7.78,7.22,71801
COYA THERAPEUTICS INC.,6.49,13.99,6.91,7.04,6.48,71713
UNIVERSAL ELECTRONICS INC.,11.0,13.93,11.37,11.64,11.0,71688
TRUSTCO BANK CORP NY,26.88,10.67,27.17,27.17,26.65,71271
BRIDGELINE DIGITAL INC.,1.0,15.66,1.06,1.07,1.0,71227
URGENT.LY INC.,1.69,16.63,1.89,1.92,1.68,70905
PRELUDE THERAPEUTICS INC.,3.87,11.53,3.78,3.95,3.78,70877
OXBRIDGE RE HOLDINGS,2.39,111.48,2.75,2.75,2.38,70831
HAYNES INTERNATIONAL INC.,58.24,0.59,58.03,58.59,58.03,70814
CLEAN ENERGY TECHNOLOGIES INC.,1.39,12.8,1.41,1.45,1.35,70747
BARFRESH FOOD GROUP INC.,2.57,112.88,2.92,3.09,2.5,70611
180 LIFE SCIENCES,1.64,110.38,1.75,1.8,1.63,70568
FREEDOM HOLDING,80.0,11.91,81.49,81.49,79.38,70298
IDENTIV INC.,4.11,0.0,4.1,4.29,4.08,70297
TRIVAGO N.V. ADS,2.07,13.27,2.14,2.14,2.01,70267
INTELLICHECK INC.,3.13,13.99,3.26,3.48,3.1,70215
COLUMBIA FINANCIAL INC.,14.19,0.35,14.11,14.28,14.11,70163
POLESTAR AUTOMOTIVE HOLDING UK,0.1399,7.62,0.15,0.15,0.13,70144
OMEGA FLEX INC.,53.97,14.76,55.0,55.74,53.5,70093
INTERNATIONAL GENERAL INSURANCE HLD.,14.69,2.01,14.51,14.9,14.4,69922
BIONEXUS GENE LAB CORP,0.4588,1.96,0.4564,0.461,0.4394,69858
RESEARCH FRONTIERS INC.,1.8,11.64,1.9,1.98,1.8,69578
UNIVEST FINANCIAL,21.51,0.75,21.36,21.65,21.27,69290
JOURNEY MEDICAL,5.38,13.41,5.59,5.64,5.36,69212
PLUS THERAPEUTICS INC.,1.93,13.5,2.03,2.03,1.83,69150
MAGIC SOFTWARE ENTERPRISES,10.15,14.34,10.45,10.45,10.14,69087
HYPERFINE INC.,0.83,12.19,0.84,0.899,0.822,69013
INTELLIGENT GROUP,0.9826,13.6,1.02,1.02,0.9625,68858
LM FUNDING AMERICA INC.,5.47,13.01,5.47,5.72,5.25,68812
OPTIMIZERX CORP.,10.82,11.1,10.96,11.08,10.82,68625
SILVER SPIKE INVESTMENT,12.38,5.81,11.8,12.45,11.6,68521
FUSION FUEL GREEN PLC,0.9899,12.95,1.0,1.01,0.96,68493
BEYONDSPRING INC.,2.84,1.43,2.79,2.89,2.64,68478
VIVAKOR INC.,1.73,14.42,1.8,1.88,1.72,68224
DLH HOLDINGS CORP.,10.8,11.82,10.9,11.07,10.66,68222
FARMER BROTHERS CO.,2.88,13.36,2.98,2.98,2.85,68145
MILLICOM INTERNATIONAL CELLULAR S.A.,23.14,0.48,23.36,23.43,23.07,68061
U POWER LTD.,6.98,10.29,6.72,7.09,6.49,67981
XUNLEI LTD.,1.7,13.41,1.74,1.76,1.7,67952
VISION MARINE TECHNOLOGIES,0.5099,18.19,0.5375,0.549,0.501,67725
MESOBLAST LTD.,7.49,3.45,7.39,7.61,7.36,67709
THE DESCARTES SYSTEMS GROUP,94.73,10.11,94.73,95.29,93.89,67631
HEALTHSTREAM INC.,27.6,10.36,27.64,27.77,27.54,67630
TIZIANA LIFE SCIENCES LTD,0.72,18.86,0.7952,0.7952,0.72,67483
ONCOCYTE CORP.,2.69,12.54,2.78,2.85,2.64,67248
LARGO INC.,1.82,12.67,1.85,1.92,1.82,67191
LQR HOUSE INC.,1.01,2.02,0.96,1.03,0.96,67092
ENTERA BIO,2.11,1.93,2.1,2.13,2.04,67070
LINCOLN EDUCATIONAL SERVICES,10.48,12.42,10.72,10.77,10.45,66592
PROTAGENIC THERAPEUTICS INC.,0.96,1.05,1.04,1.13,0.96,66468
ULTRALIFE CORP.,10.1,10.88,10.12,10.52,10.1,66338
XTL BIOPHARMACEUTICALS,2.48,1.64,2.55,2.81,2.44,66162
ACHILLES THERAPEUTICS PLC ADS,0.8949,10.79,0.88,0.91,0.88,65861
STRATEGIC EDUCATION INC.,109.34,10.16,109.23,109.59,108.74,65822
PERASO INC.,1.39,17.95,1.45,1.5,1.38,65816
FORESIGHT AUTONOMOUS HLD.,1.05,12.78,1.07,1.07,1.04,65572
CHARLES & COLVARD,1.58,17.6,1.73,1.73,1.57,65462
SHUTTLE PHARMACEUTICALS HLD.,0.3802,18.08,0.3921,0.4097,0.3802,65386
NEUROPACE INC.,6.5,0.0,6.5,6.72,6.47,65380
MAMMOTH ENERGY SERVICES INC.,3.29,0.0,3.33,3.47,3.29,65375
WINMARK CORP.,362.67,1.89,356.05,362.67,352.88,65085
PAYSIGN INC.,3.87,10.77,3.87,3.96,3.85,64902
ADITXT INC.,1.44,17.69,1.56,1.56,1.44,64795
SECURITY NATIONAL FINANCIAL,7.4,11.46,7.49,7.52,7.4,64778
CAVCO INDUSTRIES INC.,354.82,10.79,357.65,361.7,352.91,64543
BTCS INC.,1.36,13.55,1.41,1.44,1.36,64162
LEAD REAL ESTATE CO. LTD ADS,6.5,11.81,7.19,7.19,5.72,64120
FIRST CITIZENS BANCSHARES INC.,1639.71,10.67,1655.86,1674.17,1637.26,64087
IRADIMED CORP.,42.31,11.7,43.02,43.68,42.28,64058
HERITAGE GLOBAL INC.,2.22,11.33,2.24,2.32,2.17,64007
COCA-COLA CONSOLIDATED INC.,1023.93,2.22,999.78,1033.2,999.78,63993
THE JOINT CORP.,13.97,1.9,13.67,14.33,13.67,63721
BOWMAN CONSULTING GROUP,31.52,0.57,31.33,31.95,30.76,63709
APYX MEDICAL CORP.,1.36,17.48,1.42,1.43,1.3,63695
DOUYU INTERNATIONAL HLD.,10.25,0.79,10.2,10.36,10.01,63555
THE CARLYLE GROUP,18.07,1.46,17.8,18.1,17.8,63409
SHORE BANCSHARES INC.,10.67,0.19,10.7,10.76,10.64,63363
WALDENCAST PLC ORD.,3.94,14.14,4.06,4.14,3.92,63295
ADAMAS ONE CORP.,0.2652,4.0,0.259,0.2787,0.2575,63056
LIFETIME BRANDS INC.,9.32,11.79,9.53,9.79,9.29,62818
JET.AI INC.,0.4511,19.74,0.4854,0.4854,0.4511,62669
JIUZI HOLDINGS INC.,0.37,4.58,0.379,0.3818,0.3541,62652
NOVONIX LTD.,1.71,11.16,1.76,1.8,1.7,62583
L.B. FOSTER COMPANY,23.9,10.21,23.87,24.11,23.6,62505
CAMBIUM NETWORKS,2.9,10.68,2.94,3.0,2.81,62439
CASTOR MARITIME INC.,4.65,11.06,4.72,4.88,4.61,62063
LSI INDUSTRIES INC.,14.65,10.2,14.62,14.7,14.42,61847
TRAVELZOO,7.82,10.76,7.9,7.99,7.71,61728
TPG,25.94,10.54,26.07,26.08,25.88,61701
MEIWU TECHNOLOGY CO.,0.97,2.11,0.99,0.99,0.95,61362
CAESARSTONE,5.32,10.19,5.51,5.51,5.21,61338
AN2 THERAPEUTICS INC.,2.0,13.38,2.04,2.06,1.98,61187
111 INC. ADS,1.02,15.56,1.05,1.1,1.02,61104
